geometry,operating_temp_C,ambient_temp_C,insulation_mm,material,lambda_WmK,heat_flux_bare_Wm2,heat_flux_insulated_Wm2,heat_loss_reduction_pct,surface_temp_C,touch_safety_ISO13732_1
flat,50,0,0,none,,500.0,500.0,0.0,50,"short-contact only (~1 s, bare metal)"
flat,50,0,25,mineral wool (lamella),0.0414,500.0,71.0,85.8,7.1,"safe (prolonged contact, <=45C)"
flat,50,0,50,mineral wool (lamella),0.0414,500.0,38.2,92.4,3.8,"safe (prolonged contact, <=45C)"
flat,50,0,75,mineral wool (lamella),0.0414,500.0,26.1,94.8,2.6,"safe (prolonged contact, <=45C)"
flat,50,0,100,mineral wool (lamella),0.0414,500.0,19.9,96.0,2.0,"safe (prolonged contact, <=45C)"
flat,50,0,125,mineral wool (lamella),0.0414,500.0,16.0,96.8,1.6,"safe (prolonged contact, <=45C)"
flat,50,0,150,mineral wool (lamella),0.0414,500.0,13.4,97.3,1.3,"safe (prolonged contact, <=45C)"
flat,50,10,0,none,,400.0,400.0,0.0,50,"short-contact only (~1 s, bare metal)"
flat,50,10,25,mineral wool (lamella),0.0425,400.0,58.1,85.5,15.8,"safe (prolonged contact, <=45C)"
flat,50,10,50,mineral wool (lamella),0.0425,400.0,31.3,92.2,13.1,"safe (prolonged contact, <=45C)"
flat,50,10,75,mineral wool (lamella),0.0425,400.0,21.5,94.6,12.1,"safe (prolonged contact, <=45C)"
flat,50,10,100,mineral wool (lamella),0.0425,400.0,16.3,95.9,11.6,"safe (prolonged contact, <=45C)"
flat,50,10,125,mineral wool (lamella),0.0425,400.0,13.2,96.7,11.3,"safe (prolonged contact, <=45C)"
flat,50,10,150,mineral wool (lamella),0.0425,400.0,11.0,97.2,11.1,"safe (prolonged contact, <=45C)"
flat,50,20,0,none,,300.0,300.0,0.0,50,"short-contact only (~1 s, bare metal)"
flat,50,20,25,mineral wool (lamella),0.0436,300.0,44.6,85.1,24.5,"safe (prolonged contact, <=45C)"
flat,50,20,50,mineral wool (lamella),0.0436,300.0,24.1,92.0,22.4,"safe (prolonged contact, <=45C)"
flat,50,20,75,mineral wool (lamella),0.0436,300.0,16.5,94.5,21.6,"safe (prolonged contact, <=45C)"
flat,50,20,100,mineral wool (lamella),0.0436,300.0,12.5,95.8,21.3,"safe (prolonged contact, <=45C)"
flat,50,20,125,mineral wool (lamella),0.0436,300.0,10.1,96.6,21.0,"safe (prolonged contact, <=45C)"
flat,50,20,150,mineral wool (lamella),0.0436,300.0,8.5,97.2,20.8,"safe (prolonged contact, <=45C)"
flat,50,30,0,none,,200.0,200.0,0.0,50,"short-contact only (~1 s, bare metal)"
flat,50,30,25,mineral wool (lamella),0.0447,200.0,30.4,84.8,33.0,"safe (prolonged contact, <=45C)"
flat,50,30,50,mineral wool (lamella),0.0447,200.0,16.4,91.8,31.6,"safe (prolonged contact, <=45C)"
flat,50,30,75,mineral wool (lamella),0.0447,200.0,11.3,94.4,31.1,"safe (prolonged contact, <=45C)"
flat,50,30,100,mineral wool (lamella),0.0447,200.0,8.6,95.7,30.9,"safe (prolonged contact, <=45C)"
flat,50,30,125,mineral wool (lamella),0.0447,200.0,6.9,96.5,30.7,"safe (prolonged contact, <=45C)"
flat,50,30,150,mineral wool (lamella),0.0447,200.0,5.8,97.1,30.6,"safe (prolonged contact, <=45C)"
flat,100,0,0,none,,1000.0,1000.0,0.0,100,burn risk (>60C)
flat,100,0,25,mineral wool (lamella),0.047,1000.0,158.2,84.2,15.8,"safe (prolonged contact, <=45C)"
flat,100,0,50,mineral wool (lamella),0.047,1000.0,85.9,91.4,8.6,"safe (prolonged contact, <=45C)"
flat,100,0,75,mineral wool (lamella),0.047,1000.0,59.0,94.1,5.9,"safe (prolonged contact, <=45C)"
flat,100,0,100,mineral wool (lamella),0.047,1000.0,44.9,95.5,4.5,"safe (prolonged contact, <=45C)"
flat,100,0,125,mineral wool (lamella),0.047,1000.0,36.2,96.4,3.6,"safe (prolonged contact, <=45C)"
flat,100,0,150,mineral wool (lamella),0.047,1000.0,30.4,97.0,3.0,"safe (prolonged contact, <=45C)"
flat,100,10,0,none,,900.0,900.0,0.0,100,burn risk (>60C)
flat,100,10,25,mineral wool (lamella),0.0482,900.0,145.5,83.8,24.5,"safe (prolonged contact, <=45C)"
flat,100,10,50,mineral wool (lamella),0.0482,900.0,79.1,91.2,17.9,"safe (prolonged contact, <=45C)"
flat,100,10,75,mineral wool (lamella),0.0482,900.0,54.3,94.0,15.4,"safe (prolonged contact, <=45C)"
flat,100,10,100,mineral wool (lamella),0.0482,900.0,41.4,95.4,14.1,"safe (prolonged contact, <=45C)"
flat,100,10,125,mineral wool (lamella),0.0482,900.0,33.4,96.3,13.3,"safe (prolonged contact, <=45C)"
flat,100,10,150,mineral wool (lamella),0.0482,900.0,28.0,96.9,12.8,"safe (prolonged contact, <=45C)"
flat,100,20,0,none,,800.0,800.0,0.0,100,burn risk (>60C)
flat,100,20,25,mineral wool (lamella),0.0494,800.0,132.0,83.5,33.2,"safe (prolonged contact, <=45C)"
flat,100,20,50,mineral wool (lamella),0.0494,800.0,71.9,91.0,27.2,"safe (prolonged contact, <=45C)"
flat,100,20,75,mineral wool (lamella),0.0494,800.0,49.4,93.8,24.9,"safe (prolonged contact, <=45C)"
flat,100,20,100,mineral wool (lamella),0.0494,800.0,37.7,95.3,23.8,"safe (prolonged contact, <=45C)"
flat,100,20,125,mineral wool (lamella),0.0494,800.0,30.4,96.2,23.0,"safe (prolonged contact, <=45C)"
flat,100,20,150,mineral wool (lamella),0.0494,800.0,25.5,96.8,22.6,"safe (prolonged contact, <=45C)"
flat,100,30,0,none,,700.0,700.0,0.0,100,burn risk (>60C)
flat,100,30,25,mineral wool (lamella),0.0506,700.0,117.8,83.2,41.8,"safe (prolonged contact, <=45C)"
flat,100,30,50,mineral wool (lamella),0.0506,700.0,64.3,90.8,36.4,"safe (prolonged contact, <=45C)"
flat,100,30,75,mineral wool (lamella),0.0506,700.0,44.2,93.7,34.4,"safe (prolonged contact, <=45C)"
flat,100,30,100,mineral wool (lamella),0.0506,700.0,33.7,95.2,33.4,"safe (prolonged contact, <=45C)"
flat,100,30,125,mineral wool (lamella),0.0506,700.0,27.2,96.1,32.7,"safe (prolonged contact, <=45C)"
flat,100,30,150,mineral wool (lamella),0.0506,700.0,22.8,96.7,32.3,"safe (prolonged contact, <=45C)"
flat,150,0,0,none,,1500.0,1500.0,0.0,150,burn risk (>60C)
flat,150,0,25,mineral wool (lamella),0.053,1500.0,262.4,82.5,26.2,"safe (prolonged contact, <=45C)"
flat,150,0,50,mineral wool (lamella),0.053,1500.0,143.8,90.4,14.4,"safe (prolonged contact, <=45C)"
flat,150,0,75,mineral wool (lamella),0.053,1500.0,99.0,93.4,9.9,"safe (prolonged contact, <=45C)"
flat,150,0,100,mineral wool (lamella),0.053,1500.0,75.5,95.0,7.5,"safe (prolonged contact, <=45C)"
flat,150,0,125,mineral wool (lamella),0.053,1500.0,61.0,95.9,6.1,"safe (prolonged contact, <=45C)"
flat,150,0,150,mineral wool (lamella),0.053,1500.0,51.2,96.6,5.1,"safe (prolonged contact, <=45C)"
flat,150,10,0,none,,1400.0,1400.0,0.0,150,burn risk (>60C)
flat,150,10,25,mineral wool (lamella),0.0542,1400.0,249.4,82.2,34.9,"safe (prolonged contact, <=45C)"
flat,150,10,50,mineral wool (lamella),0.0542,1400.0,136.9,90.2,23.7,"safe (prolonged contact, <=45C)"
flat,150,10,75,mineral wool (lamella),0.0542,1400.0,94.4,93.3,19.4,"safe (prolonged contact, <=45C)"
flat,150,10,100,mineral wool (lamella),0.0542,1400.0,72.0,94.9,17.2,"safe (prolonged contact, <=45C)"
flat,150,10,125,mineral wool (lamella),0.0542,1400.0,58.2,95.8,15.8,"safe (prolonged contact, <=45C)"
flat,150,10,150,mineral wool (lamella),0.0542,1400.0,48.8,96.5,14.9,"safe (prolonged contact, <=45C)"
flat,150,20,0,none,,1300.0,1300.0,0.0,150,burn risk (>60C)
flat,150,20,25,mineral wool (lamella),0.0554,1300.0,235.8,81.9,43.6,"safe (prolonged contact, <=45C)"
flat,150,20,50,mineral wool (lamella),0.0554,1300.0,129.7,90.0,33.0,"safe (prolonged contact, <=45C)"
flat,150,20,75,mineral wool (lamella),0.0554,1300.0,89.4,93.1,28.9,"safe (prolonged contact, <=45C)"
flat,150,20,100,mineral wool (lamella),0.0554,1300.0,68.2,94.8,26.8,"safe (prolonged contact, <=45C)"
flat,150,20,125,mineral wool (lamella),0.0554,1300.0,55.2,95.8,25.5,"safe (prolonged contact, <=45C)"
flat,150,20,150,mineral wool (lamella),0.0554,1300.0,46.3,96.4,24.6,"safe (prolonged contact, <=45C)"
flat,150,30,0,none,,1200.0,1200.0,0.0,150,burn risk (>60C)
flat,150,30,25,mineral wool (lamella),0.0566,1200.0,221.5,81.5,52.2,caution (brief touch)
flat,150,30,50,mineral wool (lamella),0.0566,1200.0,122.0,89.8,42.2,"safe (prolonged contact, <=45C)"
flat,150,30,75,mineral wool (lamella),0.0566,1200.0,84.2,93.0,38.4,"safe (prolonged contact, <=45C)"
flat,150,30,100,mineral wool (lamella),0.0566,1200.0,64.3,94.6,36.4,"safe (prolonged contact, <=45C)"
flat,150,30,125,mineral wool (lamella),0.0566,1200.0,52.0,95.7,35.2,"safe (prolonged contact, <=45C)"
flat,150,30,150,mineral wool (lamella),0.0566,1200.0,43.6,96.4,34.4,"safe (prolonged contact, <=45C)"
flat,200,0,0,none,,2000.0,2000.0,0.0,200,burn risk (>60C)
flat,200,0,25,mineral wool (lamella),0.059,2000.0,381.9,80.9,38.2,"safe (prolonged contact, <=45C)"
flat,200,0,50,mineral wool (lamella),0.059,2000.0,211.1,89.4,21.1,"safe (prolonged contact, <=45C)"
flat,200,0,75,mineral wool (lamella),0.059,2000.0,145.9,92.7,14.6,"safe (prolonged contact, <=45C)"
flat,200,0,100,mineral wool (lamella),0.059,2000.0,111.4,94.4,11.1,"safe (prolonged contact, <=45C)"
flat,200,0,125,mineral wool (lamella),0.059,2000.0,90.1,95.5,9.0,"safe (prolonged contact, <=45C)"
flat,200,0,150,mineral wool (lamella),0.059,2000.0,75.7,96.2,7.6,"safe (prolonged contact, <=45C)"
flat,200,10,0,none,,1900.0,1900.0,0.0,200,burn risk (>60C)
flat,200,10,25,mineral wool (lamella),0.0605,1900.0,370.2,80.5,47.0,"short-contact only (~1 s, bare metal)"
flat,200,10,50,mineral wool (lamella),0.0605,1900.0,205.1,89.2,30.5,"safe (prolonged contact, <=45C)"
flat,200,10,75,mineral wool (lamella),0.0605,1900.0,141.8,92.5,24.2,"safe (prolonged contact, <=45C)"
flat,200,10,100,mineral wool (lamella),0.0605,1900.0,108.4,94.3,20.8,"safe (prolonged contact, <=45C)"
flat,200,10,125,mineral wool (lamella),0.0605,1900.0,87.7,95.4,18.8,"safe (prolonged contact, <=45C)"
flat,200,10,150,mineral wool (lamella),0.0605,1900.0,73.7,96.1,17.4,"safe (prolonged contact, <=45C)"
flat,200,20,0,none,,1800.0,1800.0,0.0,200,burn risk (>60C)
flat,200,20,25,mineral wool (lamella),0.062,1800.0,357.7,80.1,55.8,caution (brief touch)
flat,200,20,50,mineral wool (lamella),0.062,1800.0,198.6,89.0,39.9,"safe (prolonged contact, <=45C)"
flat,200,20,75,mineral wool (lamella),0.062,1800.0,137.4,92.4,33.7,"safe (prolonged contact, <=45C)"
flat,200,20,100,mineral wool (lamella),0.062,1800.0,105.1,94.2,30.5,"safe (prolonged contact, <=45C)"
flat,200,20,125,mineral wool (lamella),0.062,1800.0,85.1,95.3,28.5,"safe (prolonged contact, <=45C)"
flat,200,20,150,mineral wool (lamella),0.062,1800.0,71.4,96.0,27.1,"safe (prolonged contact, <=45C)"
flat,200,30,0,none,,1700.0,1700.0,0.0,200,burn risk (>60C)
flat,200,30,25,mineral wool (lamella),0.0635,1700.0,344.3,79.7,64.4,burn risk (>60C)
flat,200,30,50,mineral wool (lamella),0.0635,1700.0,191.6,88.7,49.2,"short-contact only (~1 s, bare metal)"
flat,200,30,75,mineral wool (lamella),0.0635,1700.0,132.7,92.2,43.3,"safe (prolonged contact, <=45C)"
flat,200,30,100,mineral wool (lamella),0.0635,1700.0,101.5,94.0,40.2,"safe (prolonged contact, <=45C)"
flat,200,30,125,mineral wool (lamella),0.0635,1700.0,82.2,95.2,38.2,"safe (prolonged contact, <=45C)"
flat,200,30,150,mineral wool (lamella),0.0635,1700.0,69.0,95.9,36.9,"safe (prolonged contact, <=45C)"
flat,250,0,0,none,,2500.0,2500.0,0.0,250,burn risk (>60C)
flat,250,0,25,mineral wool (lamella),0.0665,2500.0,525.3,79.0,52.5,caution (brief touch)
flat,250,0,50,mineral wool (lamella),0.0665,2500.0,293.5,88.3,29.3,"safe (prolonged contact, <=45C)"
flat,250,0,75,mineral wool (lamella),0.0665,2500.0,203.6,91.9,20.4,"safe (prolonged contact, <=45C)"
